nama_toko,nama_produk,harga_produk,jumlah_review,banyak_ukuran
Moschino,Fresh Pink Couture Eau de Toilette,1561000,33,1
HUGO BOSS,Boss The Scent Le Parfum For Her,2300000,9,1
L'Atelier Parfum,Verte Euphorie,699000,12,3
Rabanne,Invictus Eau De Toilette,1709400,200,2
L'Atelier Parfum,Belle Joueuse,699000,9,3
Chloé,Rose Naturelle Eau De Parfum Intense,3652000,0,3
Jimmy Choo,Man Intense Eau De Toilette,1470000,0,2
Michael Kors,Wonderlust Eau De Parfum Spray,961000,3,3
Kate Spade,New York Eau De Parfum,1080000,82,2
Jo Malone London,Peony & Blush Suede And Wood Sage & Sea Salt Cologne Miniature Duo,865000,150,1
Kate Spade,New York Sparkle Eau De Parfum Intense,2180000,42,1
Dolce&Gabbana,Q By Dolce & Gabbana Eau De Parfum,2660000,30,3
Jimmy Choo,Amber Kiss Eau De Parfum,4050000,0,1
Chloé,Nomade Jasmin Naturel Intense Eau de Parfum Intense,2531000,3,2
BVLGARI,Rose Goldea Blossom Delight Hair Mist,950000,17,1
Dolce&Gabbana,Dolce Violet Eau De Toilette,1760000,116,3
Jo Malone London,Men's Cologne Collection,2450000,1,1
Coach,New York Open Road Eau De Toilette,840000,37,3
Juliette Has a Gun,Ego Stratis Eau De Parfum,2780000,3,2
Jimmy Choo,I Want Oud Eau De Parfum,4050000,0,1
FRESH,Lily Jasmine Eau De Parfum,1080000,51,3
BVLGARI,Omnia Crystalline Eau De Toilette,2980000,11,1
GIVENCHY,L'Interdit Eau De Parfum Rouge Ultime,1690000,20,3
Bon Parfumeur,"201 Green Apple, Lily Of The Valley, Quince EDP",975000,5,3
Bon Parfumeur,"001 Orange Blossom, Petite Grain, Bergamot EDP",975000,7,3
Dolce&Gabbana,The Only One Exclusive Gift Set,2600000,0,1
Bon Parfumeur,"202 Watermelon, Red Currant, Jasmine EDP",975000,9,3
Dolce&Gabbana,Devotion Eau De Parfum,2690000,360,4
Kayali,Eden Sparkling Lychee 39 Eau De Parfum,2650000,987,3
Kayali,Lovefest Burning Cherry | 48 Eau de Parfum,1980000,1011,2
L'Atelier Parfum,Arme Blanche,699000,21,3
Burberry Beauty,Hero Parfum,3294000,563,2
Jo Malone London,Cypress & Grapevine Cologne Intense,575000,164,3
