nama_toko,nama_produk,harga_produk,jumlah_review,banyak_ukuran
Rare Beauty,Awaken Confidence Body Fragrance Mist,610000,1015,1
DIOR,Miss Dior Rose N'Roses Eau De Toilette,1400000,61,1
Coach,For Woman Eau de Parfum,1460000,89,2
GIVENCHY,Irresistible Hair Mist,790000,25,1
OUAI,Wanna Get A OUAI (Travel Kit),689000,47,1
Yves Saint Laurent,Y Le Parfum (2025),3150000,1496,1
Coach,Platinum Eau de Parfum,1425000,35,1
Lancôme,La Vie Est Belle Eau De Parfum,2690000,1002,2
Jean Paul Gaultier,Scandal Eau de Parfum,1165000,19,4
Coach,Dreams Sunset Eau De Parfum,1460000,90,2
Kate Spade,Chérie Eau De Parfum,2000000,49,2
Kayali,Eden Juicy Apple | 01 Eau De Parfum,620000,1464,3
Jo Malone London,Velvet Rose & Oud Cologne Intense,2815000,211,3
Armani Beauty,My Way Eau de Parfum Nectar,2850000,656,1
Armani Beauty,Sì Passione Intense Eau de Parfum,3270000,20,1
Armani Beauty,ARMANI PRIVE SUMMER MOMENTS SET,3900000,7,1
Sol de Janeiro,Cheirosa 68 Perfume Mist,839000,3347,2
Sol de Janeiro,Cheirosa 48 Perfume Mist,535000,41,2
DIOR,Miss Dior Parfum Roller,1300000,1840,1
Jean Paul Gaultier,Gaultier Divine Eau De Parfum,2300000,203,1
Jo Malone London,Scarlet Poppy Cologne Intense Travel Spray,620000,0,1
Jo Malone London,Scarlet Poppy Cologne Intense,3975000,294,2
DIOR,Miss Dior Roller Pearl Blooming Bouquet,1050000,636,1
Yves Saint Laurent,Y Eau de Parfum,2750000,3051,2
HERMÈS,Terre D'Hermes Eau De Parfum Intense,720000,183,3
FRESH,Rose Morning Eau de Parfum,420000,55,3
DIOR,Sauvage Parfum,2250000,769,3
Versace,Bright Crystal Absolu Eau de Parfum,2162000,463,1
Carolina Herrera,Very Good Girl Eau De Parfum,2500000,376,2
DIOR,Sauvage Elixir,4300000,1282,2
Jean Paul Gaultier,Scandal Pour Homme Eau De Toilette,1950000,11,3
GIVENCHY,Gentleman Eau De Toilette,1570000,5,2
Jo Malone London,Nectarine Blossom & Honey Cologne,500000,1021,4
DIOR,J’adore Parfum d'Eau Eau De Parfum,3500000,1448,3
HERMÈS,Twilly Eau Ginger Eau De Parfum,2850000,261,2
MCM,MCM Collection Jolly Rabbit,2680000,0,1
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,2250000,0,1
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,2850000,0,1
Armani Beauty,Si Eau De Parfum,2990000,0,1
Armani Beauty,Acqua Di Giò Parfum,1700000,0,1
Armani Beauty,Stronger With You Parfum,2485000,0,1
Armani Beauty,My Way Le Parfum,2255000,0,1
Ferragamo,FIAMMA,1380000,0,1
MCM,MCM Eau de Parfum,1650000,33,4
Lancôme,Idôle Now Eau De Parfum,2790000,28,2
Jo Malone London,Cologne Intense Collection,2750000,0,1
Kayali,Utopia Vanilla Coco | 21 Eau de Parfum Intense,2950000,610,3
Jo Malone London,English Pear & Freesia Cologne,2885000,1374,4
Versace,Pour Femme Dylan Purple Eau de Parfum,2162000,111,3
GIVENCHY,L'Interdit Eau De Parfum Hair Mist ,790000,14,1
Armani Beauty,Indigo Tanzanite Eau De Parfum,5550000,0,1
Coach,Coach New York Love Eau De Parfum,945000,68,3
DIOR,J’adore L’or Essence de Parfum,2900000,1395,2
Chloé,Atelier Des Fleurs Cedrus Eau De Parfum,3800000,30,2
Dolce&Gabbana,New Light Blue Capri In Love Eau De Parfum,2550000,336,2
Kayali,Yummy Kiss Set,750000,50,1
Tom Ford Beauty,Neroli Portofino Eau De Parfum,1450000,667,2
